global_mesh_x,global_mesh_y,sub_x0,sub_x1,sub_y0,sub_y1,sub_mesh_x,sub_mesh_y,L2_norm,H1_norm,Relative_L2_norm
3,3,0.0,4.0,0.0,4.0,3,3,4.0378720119161173e-16,4.552928560587996e-16,2.1416803471543677e-16
3,3,0.0,4.0,0.0,4.0,4,4,2.617910879398173e-16,3.326731494005069e-16,1.3885354128270354e-16
3,3,0.0,4.0,0.0,4.0,6,6,4.249990880741894e-16,1.047157539937365e-15,2.254187829135996e-16
3,3,0.0,4.0,0.0,4.0,8,8,1.5543520071677426e-15,2.0809741660949804e-15,8.244256223295691e-16
3,3,0.0,4.0,0.0,4.0,12,12,1.38100840919303e-15,3.0880382088259114e-15,7.32484477094683e-16
3,3,0.0,4.0,0.0,4.0,16,16,3.2591976194954748e-15,5.388193223573422e-15,1.7286727931362519e-15
3,3,0.0,4.0,0.0,4.0,24,24,5.437862125971222e-15,8.515753911647956e-15,2.8842326877519754e-15
3,3,0.0,4.0,0.0,4.0,32,32,1.1631756882856444e-14,1.647022838331772e-14,6.1694637782908445e-15
3,3,0.0,4.0,0.0,4.0,48,48,1.845148379345214e-14,2.7198041184617013e-14,9.786635163189145e-15
3,3,0.0,4.0,0.0,4.0,64,64,2.88346045548878e-14,5.3090433150616344e-14,1.5293824497389694e-14
3,3,0.0,4.0,0.0,4.0,96,96,9.098573619999239e-14,1.1135978062936669e-13,4.825867747067435e-14
3,3,0.0,4.0,0.0,4.0,128,128,6.607145374326225e-14,1.4170985594851448e-13,3.504418504905022e-14
3,3,0.0,4.0,0.0,4.0,192,192,9.108273704970794e-14,2.252721861995625e-13,4.8310126554011114e-14
4,4,0.0,4.0,0.0,4.0,3,3,1.422635169503817e-16,1.513446128037117e-16,1.253937186837365e-16
4,4,0.0,4.0,0.0,4.0,4,4,1.8315149114978297e-16,1.9996779858352185e-16,1.6143314217202124e-16
4,4,0.0,4.0,0.0,4.0,6,6,2.846607088124839e-16,5.683048714956064e-16,2.509052609292313e-16
4,4,0.0,4.0,0.0,4.0,8,8,1.0653461431308806e-15,1.3483383643356857e-15,9.390159714605483e-16
4,4,0.0,4.0,0.0,4.0,12,12,9.079912306497709e-16,1.8394010313472077e-15,8.003204151286935e-16
4,4,0.0,4.0,0.0,4.0,16,16,1.7136657351143415e-15,3.069026920213181e-15,1.5104569584191756e-15
4,4,0.0,4.0,0.0,4.0,24,24,3.24823985585375e-15,5.20378543357623e-15,2.863059225818702e-15
4,4,0.0,4.0,0.0,4.0,32,32,7.027378734212424e-15,9.973972576907604e-15,6.194062757419702e-15
4,4,0.0,4.0,0.0,4.0,48,48,1.120492395691097e-14,1.6551274247016546e-14,9.87622907576187e-15
4,4,0.0,4.0,0.0,4.0,64,64,1.7348474145433728e-14,3.2019607224523054e-14,1.5291268859487214e-14
4,4,0.0,4.0,0.0,4.0,96,96,5.462871919388461e-14,6.71597451088995e-14,4.8150772548697524e-14
4,4,0.0,4.0,0.0,4.0,128,128,3.981946083260879e-14,8.557180089212456e-14,3.5097615866766294e-14
4,4,0.0,4.0,0.0,4.0,192,192,5.488806107244328e-14,1.3594676319537707e-13,4.83793613200936e-14
6,6,0.0,4.0,0.0,4.0,3,3,9.189972502587495e-17,1.2249981285707013e-16,1.7389715034852035e-16
6,6,0.0,4.0,0.0,4.0,4,4,9.495370118789208e-17,1.3218787656152344e-16,1.7967603327398685e-16
6,6,0.0,4.0,0.0,4.0,6,6,1.2771851469830612e-16,2.6762541338785364e-16,2.416752144419116e-16
6,6,0.0,4.0,0.0,4.0,8,8,5.039651005480653e-16,6.639285060865064e-16,9.53627389371828e-16
6,6,0.0,4.0,0.0,4.0,12,12,5.1145678968003695e-16,9.360963578135265e-16,9.678035296266533e-16
6,6,0.0,4.0,0.0,4.0,16,16,9.995852499310037e-16,1.5895277825996525e-15,1.891464054375265e-15
6,6,0.0,4.0,0.0,4.0,24,24,1.6171888139465048e-15,2.4987858550068742e-15,3.0601236972322285e-15
6,6,0.0,4.0,0.0,4.0,32,32,3.2825218671360354e-15,4.601723031363659e-15,6.211348276514992e-15
6,6,0.0,4.0,0.0,4.0,48,48,5.241508684938527e-15,7.66091922600365e-15,9.918238858508491e-15
6,6,0.0,4.0,0.0,4.0,64,64,8.112902381000002e-15,1.4935669578103226e-14,1.535163032004891e-14
6,6,0.0,4.0,0.0,4.0,96,96,2.5491464480789352e-14,3.1264685507785044e-14,4.8236194723868424e-14
6,6,0.0,4.0,0.0,4.0,128,128,1.8537402126360626e-14,3.992052707208631e-14,3.507737812852311e-14
6,6,0.0,4.0,0.0,4.0,192,192,2.553130400137113e-14,6.312940770007753e-14,4.831158101150261e-14
8,8,0.0,4.0,0.0,4.0,3,3,3.7320218645219044e-17,5.0030392783070077e-17,1.2352793056727105e-16
8,8,0.0,4.0,0.0,4.0,4,4,5.281128555931433e-17,6.535404262234873e-17,1.7480253472670978e-16
8,8,0.0,4.0,0.0,4.0,6,6,6.357523892210526e-17,1.1931050358274578e-16,2.1043064549069957e-16
8,8,0.0,4.0,0.0,4.0,8,8,2.3449895113501727e-16,3.2496047031535343e-16,7.761790044500519e-16
8,8,0.0,4.0,0.0,4.0,12,12,2.8045454956024813e-16,5.364596316389826e-16,9.282895809023265e-16
8,8,0.0,4.0,0.0,4.0,16,16,5.531145275903762e-16,9.024095696715791e-16,1.8307795463220234e-15
8,8,0.0,4.0,0.0,4.0,24,24,8.976110018013534e-16,1.400616350415603e-15,2.9710444775527656e-15
8,8,0.0,4.0,0.0,4.0,32,32,1.854278115722729e-15,2.6232233441544782e-15,6.137561532232686e-15
8,8,0.0,4.0,0.0,4.0,48,48,3.0155381890280054e-15,4.4224400394994166e-15,9.981270355846539e-15
8,8,0.0,4.0,0.0,4.0,64,64,4.664412335462866e-15,8.637188206244422e-15,1.5438955719678874e-14
8,8,0.0,4.0,0.0,4.0,96,96,1.4551269491100662e-14,1.786255615380374e-14,4.8163924880764103e-14
8,8,0.0,4.0,0.0,4.0,128,128,1.0513989496365403e-14,2.2791050228381774e-14,3.480074371581669e-14
8,8,0.0,4.0,0.0,4.0,192,192,1.4585675902193863e-14,3.616842526067283e-14,4.8277808263868824e-14
12,12,0.0,4.0,0.0,4.0,3,3,2.0124613858544095e-17,3.247784266446688e-17,1.4816211297770206e-16
12,12,0.0,4.0,0.0,4.0,4,4,2.477080859322643e-17,3.6784558045496874e-17,1.8236848503706697e-16
12,12,0.0,4.0,0.0,4.0,6,6,3.5375954855948966e-17,6.595688962404014e-17,2.6044605163124276e-16
12,12,0.0,4.0,0.0,4.0,8,8,1.1831639328692847e-16,1.5513205121120968e-16,8.710729533749323e-16
12,12,0.0,4.0,0.0,4.0,12,12,1.267270138679694e-16,2.3679070320099306e-16,9.329939087532547e-16
12,12,0.0,4.0,0.0,4.0,16,16,2.48975442623108e-16,4.121583843742119e-16,1.8330154266754995e-15
12,12,0.0,4.0,0.0,4.0,24,24,4.0955242859547687e-16,6.359442101882597e-16,3.015220745221482e-15
12,12,0.0,4.0,0.0,4.0,32,32,8.480164279390166e-16,1.195402788513626e-15,6.2432952347010615e-15
12,12,0.0,4.0,0.0,4.0,48,48,1.3483805457715167e-15,1.9698032208335653e-15,9.927092870640812e-15
12,12,0.0,4.0,0.0,4.0,64,64,2.097682969136442e-15,3.860778400448818e-15,1.5443632521307673e-14
12,12,0.0,4.0,0.0,4.0,96,96,6.537731011971558e-15,8.018125976370628e-15,4.813230443186816e-14
12,12,0.0,4.0,0.0,4.0,128,128,4.723865297945255e-15,1.0214459190637778e-14,3.4778200907866594e-14
12,12,0.0,4.0,0.0,4.0,192,192,6.558021468208865e-15,1.624344844319414e-14,4.8281687515185786e-14
24,24,0.0,4.0,0.0,4.0,3,3,7.45731569528089e-18,8.012996546335321e-18,2.181061818060562e-16
24,24,0.0,4.0,0.0,4.0,4,4,5.972049006873966e-18,9.365684252139623e-18,1.7466617475671577e-16
24,24,0.0,4.0,0.0,4.0,6,6,1.0820000020677392e-17,1.7759545620202323e-17,3.1645554353355154e-16
24,24,0.0,4.0,0.0,4.0,8,8,3.078511977424334e-17,3.904662635684553e-17,9.003809419857783e-16
24,24,0.0,4.0,0.0,4.0,12,12,2.986475483498863e-17,5.793415368388731e-17,8.734627731739043e-16
24,24,0.0,4.0,0.0,4.0,16,16,6.23704732684745e-17,1.0294581936959097e-16,1.824166541672905e-15
24,24,0.0,4.0,0.0,4.0,24,24,1.0399003084508113e-16,1.605438445665126e-16,3.0414252930002387e-15
24,24,0.0,4.0,0.0,4.0,32,32,2.127611941159393e-16,2.9701588296801446e-16,6.222685692988841e-15
24,24,0.0,4.0,0.0,4.0,48,48,3.3953637896174886e-16,4.959875171199599e-16,9.930514708725077e-15
24,24,0.0,4.0,0.0,4.0,64,64,5.293857846341113e-16,9.756146766123578e-16,1.5483092966278123e-14
24,24,0.0,4.0,0.0,4.0,96,96,1.6402202049806262e-15,2.0141461738497825e-15,4.7971975553578584e-14
24,24,0.0,4.0,0.0,4.0,128,128,1.1965462952902509e-15,2.5781366720103007e-15,3.499572158186141e-14
24,24,0.0,4.0,0.0,4.0,192,192,1.6480535533713318e-15,4.0880399960192226e-15,4.8201079668000164e-14
48,48,0.0,4.0,0.0,4.0,3,3,1.0978876945063766e-18,1.176080362674064e-18,1.2822087404483297e-16
48,48,0.0,4.0,0.0,4.0,4,4,8.234157708797823e-19,1.256614795633334e-18,9.616565553362471e-17
48,48,0.0,4.0,0.0,4.0,6,6,1.6277650601075618e-18,3.77948965416638e-18,1.9010456150569375e-16
48,48,0.0,4.0,0.0,4.0,8,8,7.006546343833408e-18,9.498840288028088e-18,8.182854227598144e-16
48,48,0.0,4.0,0.0,4.0,12,12,7.120200085257269e-18,1.4268570755533908e-17,8.315588952076351e-16
48,48,0.0,4.0,0.0,4.0,16,16,1.598700492007318e-17,2.5405303751495244e-17,1.867101484485129e-15
48,48,0.0,4.0,0.0,4.0,24,24,2.4382353722270374e-17,3.862379624053809e-17,2.8475833376977523e-15
